index,Paper,Structure name ,Smiles,Standard Relation,Standard Value,Standard Units,Unnamed: 6,InChi,MW,standardized_Standard Units,neg_log_M_Standard_Valuemean,binary_activities,SMILES
155,PMID30934674,Methyl (1-(3-chlorophenyl)-1-oxopropan-2-yl)(methyl)carbamate ,COC(=O)N(C)C(C)C(=O)c1cccc(Cl)c1,'=',329.68,µM,,ZZJSCKVXACBFKU-UHFFFAOYSA-N,255.066221,um,3.481907,0,COC(=O)N(C)C(C)C(=O)c1cccc(Cl)c1
156,PMID30934674,Methyl (1-(4-bromophenyl)-1-oxopropan-2-yl)(methyl)carbamate,COC(=O)N(C)C(C)C(=O)c1ccc(Br)cc1,'=',282.74,µM,,TUSMGNDYHUZMJS-UHFFFAOYSA-N,299.015705,um,3.548613,0,COC(=O)N(C)C(C)C(=O)c1ccc(Br)cc1
157,PMID30934674,Methyl (1-(4-chlorophenyl)-1-oxopropan-2-yl)(methyl)carbamate,COC(=O)N(C)C(C)C(=O)c1ccc(Cl)cc1,'=',308.8,µM,,XFKKVMFRNYJDQQ-UHFFFAOYSA-N,255.066221,um,3.510323,0,COC(=O)N(C)C(C)C(=O)c1ccc(Cl)cc1
158,PMID30934674,Methyl (1-(4-methoxyphenyl)-1-oxopropan-2-yl)(methyl)carbamate,COC(=O)N(C)C(C)C(=O)c1ccc(OC)cc1,'=',146.91,µM,,GHVKXTPRQZLOJU-UHFFFAOYSA-N,251.115758,um,3.832949,0,COC(=O)N(C)C(C)C(=O)c1ccc(OC)cc1
159,PMID30934674,Methyl (1-(benzo[d][13]dioxol-5-yl)-1-oxopropan-2-yl)(methyl)carbamate,COC(=O)N(C)C(C)C(=O)c1ccc2c(c1)OCO2,'=',225.46,µM,,RYLDIGKPBVYKMF-UHFFFAOYSA-N,265.095023,um,3.64693,0,COC(=O)N(C)C(C)C(=O)c1ccc2c(c1)OCO2
160,PMID30286669,methyl (E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoate,COC(=O)C=Cc1ccc(O)c(OC)c1,'=',52.4,µM,,AUJXJFHANFIVKH-UHFFFAOYSA-N,208.073559,um,4.280669,0,COC(=O)C=Cc1ccc(O)c(OC)c1
161,PMID30934674,Methyl ethyl(1-oxo-1-phenylbutan-2-yl)carbamate,CCC(C(=O)c1ccccc1)N(CC)C(=O)OC,'=',273.74,µM,,FTOROFJAXGRBGV-UHFFFAOYSA-N,249.136493,um,3.562662,0,CCC(C(=O)c1ccccc1)N(CC)C(=O)OC
162,PMID30934674,Methyl ethyl(1-oxo-1-phenylpropan-2-yl)carbamate,CCN(C(=O)OC)C(C)C(=O)c1ccccc1,'=',245.33,µM,,BYUUTTSVNOZNLV-UHFFFAOYSA-N,235.120843,um,3.610249,0,CCN(C(=O)OC)C(C)C(=O)c1ccccc1
163,PMID30934674,Methyl methyl(1-(naphthalen-2-yl)-1-oxopropan-2-yl)carbamate ,COC(=O)N(C)C(C)C(=O)c1ccc2ccccc2c1,'=',126.82,µM,,BPBKMIBKFBAQEB-UHFFFAOYSA-N,271.120843,um,3.896812,0,COC(=O)N(C)C(C)C(=O)c1ccc2ccccc2c1
164,PMID30934674,Methyl methyl(1-oxo-1-(m-tolyl)propan-2-yl)carbamate,COC(=O)N(C)C(C)C(=O)c1cccc(C)c1,'=',133.98,µM,,ZJEBKMXTOQOPER-UHFFFAOYSA-N,235.120843,um,3.87296,0,COC(=O)N(C)C(C)C(=O)c1cccc(C)c1
165,PMID30934674,Methyl methyl(1-oxo-1-(p-tolyl)propan-2-yl)carbamate ,COC(=O)N(C)C(C)C(=O)c1ccc(C)cc1,'=',50.63,µM,,QNLDHJVBCKLFTC-UHFFFAOYSA-N,235.120843,um,4.295592,0,COC(=O)N(C)C(C)C(=O)c1ccc(C)cc1
166,PMID30934674,Methyl methyl(1-oxo-1-phenylbutan-2-yl)carbamate ,CCC(C(=O)c1ccccc1)N(C)C(=O)OC,'=',328.86,µM,,RXDIEGQCKNANPR-UHFFFAOYSA-N,235.120843,um,3.482989,0,CCC(C(=O)c1ccccc1)N(C)C(=O)OC
167,PMID30160188,N-((1-benzylpiperidin-4-yl)methyl)-2-(2-hydroxyphenyl)-1Hbenzo[d]imidazole-5-carboxamide,O=C(NCC1CCN(Cc2ccccc2)CC1)c1ccc2[nH]c(-c3ccccc3O)nc2c1,'=',4.2,µM,,NHPUJOVQISWFHF-UHFFFAOYSA-N,440.221226,um,5.376751,0,O=C(NCC1CCN(Cc2ccccc2)CC1)c1ccc2[nH]c(-c3ccccc3O)nc2c1
168,PMID30160188,N-((1-benzylpiperidin-4-yl)methyl)-7-methoxy-benzofuran-2-carboxamide,COc1cccc2cc(C(=O)NCC3CCN(Cc4ccccc4)CC3)oc12,'=',19.9,µM,,YRMWPSJCKOKLEX-UHFFFAOYSA-N,378.194343,um,4.701147,0,COc1cccc2cc(C(=O)NCC3CCN(Cc4ccccc4)CC3)oc12
169,PMID30160188,N-((1-benzylpiperidin-4-yl)methyl)benzofuran-2-carboxamide ,O=C(NCC1CCN(Cc2ccccc2)CC1)c1cc2ccccc2o1,'=',30,µM,,LFFFPMHLKJIHFH-UHFFFAOYSA-N,348.183778,um,4.522879,0,O=C(NCC1CCN(Cc2ccccc2)CC1)c1cc2ccccc2o1
170,PMID30712420,N-(2-((2-(1H-indol-3-yl)ethyl)amino)-2-oxoethyl)-N-(2-(1-benzylpiperidin-4-yl)ethyl)-4-oxo-4H-chromene-2-carboxamide ,O=C(CN(CCC1CCN(Cc2ccccc2)CC1)C(=O)c1cc(=O)c2ccccc2o1)NCCc1c[nH]c2ccccc12,'=',1.43,µM,,QRGXEYNWKLZQST-UHFFFAOYSA-N,590.289306,um,5.844664,0,O=C(CN(CCC1CCN(Cc2ccccc2)CC1)C(=O)c1cc(=O)c2ccccc2o1)NCCc1c[nH]c2ccccc12
171,PMID30712420,N-(2-((2-(1H-indol-3-yl)ethyl)amino)-2-oxoethyl)-N-(3-(1-benzylpiperidin-4-yl)propyl)-4-oxo-4H-chromene-2-carboxamide,O=C(CN(CCCC1CCN(Cc2ccccc2)CC1)C(=O)c1cc(=O)c2ccccc2o1)NCCc1c[nH]c2ccccc12,'=',0.26,µM,,TZWFILGETVVEHP-UHFFFAOYSA-N,604.304956,um,6.585027,1,O=C(CN(CCCC1CCN(Cc2ccccc2)CC1)C(=O)c1cc(=O)c2ccccc2o1)NCCc1c[nH]c2ccccc12
172,PMID30712420,N-(2-((2-(1H-indol-3-yl)ethyl)amino)-2-oxoethyl)-N-(4-(1-benzylpiperidin-4-yl)butyl)-4-oxo-4H-chromene-2-carboxamide,O=C(CN(CCCCC1CCN(Cc2ccccc2)CC1)C(=O)c1cc(=O)c2ccccc2o1)NCCc1c[nH]c2ccccc12,'=',0.06,µM,,ISCNDFDWIJRPET-UHFFFAOYSA-N,618.320606,um,7.221849,1,O=C(CN(CCCCC1CCN(Cc2ccccc2)CC1)C(=O)c1cc(=O)c2ccccc2o1)NCCc1c[nH]c2ccccc12
173,PMID30712420,N-(2-(1-benzylpiperidin-4-yl)ethyl)-4-oxo-N-(2-oxo-2-((2-(5-propoxy-1H-indol-3-yl)ethyl)amino)ethyl)-4H-chromene-2-carboxamide ,CCCOc1ccc2[nH]cc(CCNC(=O)CN(CCC3CCN(Cc4ccccc4)CC3)C(=O)c3cc(=O)c4ccccc4o3)c2c1,'=',0.85,µM,,PSINPWKOVBFESJ-UHFFFAOYSA-N,648.331171,um,6.070581,1,CCCOc1ccc2[nH]cc(CCNC(=O)CN(CCC3CCN(Cc4ccccc4)CC3)C(=O)c3cc(=O)c4ccccc4o3)c2c1
174,PMID30712420,N-(2-(1-benzylpiperidin-4-yl)ethyl)-N-(2-((2-(5-isopropoxy-1H-indol-3-yl)ethyl)amino)-2-oxoethyl)-4-oxo-4H-chromene-2-carboxamide,CC(C)Oc1ccc2[nH]cc(CCNC(=O)CN(CCC3CCN(Cc4ccccc4)CC3)C(=O)c3cc(=O)c4ccccc4o3)c2c1,'=',1.05,µM,,VAJBTBGMTJLNQY-UHFFFAOYSA-N,648.331171,um,5.978811,0,CC(C)Oc1ccc2[nH]cc(CCNC(=O)CN(CCC3CCN(Cc4ccccc4)CC3)C(=O)c3cc(=O)c4ccccc4o3)c2c1
175,PMID30712420,N-(2-(1-benzylpiperidin-4-yl)ethyl)-N-(2-((2-(5-methoxy-1H-indol-3-yl)ethyl)amino)-2-oxoethyl)-4-oxo-4H-chromene-2-carboxamide,COc1ccc2[nH]cc(CCNC(=O)CN(CCC3CCN(Cc4ccccc4)CC3)C(=O)c3cc(=O)c4ccccc4o3)c2c1,'=',0.69,µM,,MLVNIDDCINVEAE-UHFFFAOYSA-N,620.29987,um,6.161151,1,COc1ccc2[nH]cc(CCNC(=O)CN(CCC3CCN(Cc4ccccc4)CC3)C(=O)c3cc(=O)c4ccccc4o3)c2c1
176,PMID30160188,N-(2-(4-benzylpiperazin-1-yl)ethyl)-2-(2-hydroxyphenyl)-1Hbenzo[d]imidazole-5-carboxamide,O=C(NCCN1CCN(Cc2ccccc2)CC1)c1ccc2[nH]c(-c3ccccc3O)nc2c1,'=',6.9,µM,,IMVLFOVBENXFCO-UHFFFAOYSA-N,455.232125,um,5.161151,0,O=C(NCCN1CCN(Cc2ccccc2)CC1)c1ccc2[nH]c(-c3ccccc3O)nc2c1
177,PMID30160188,N-(2-(4-benzylpiperazin-1-yl)ethyl)-7-hydroxybenzofuran-2-carboxamide,O=C(NCCN1CCN(Cc2ccccc2)CC1)c1cc2cccc(O)c2o1,'=',20,µM,,APHAKCSANSLURU-UHFFFAOYSA-N,379.189592,um,4.69897,0,O=C(NCCN1CCN(Cc2ccccc2)CC1)c1cc2cccc(O)c2o1
178,PMID30160188,N-(2-(4-benzylpiperazin-1-yl)ethyl)-7-methoxybenzofuran-2-carboxamide ,COc1cccc2cc(C(=O)NCCN3CCN(Cc4ccccc4)CC3)oc12,'=',4,µM,,JTOIILQJNACTTB-UHFFFAOYSA-N,393.205242,um,5.39794,0,COc1cccc2cc(C(=O)NCCN3CCN(Cc4ccccc4)CC3)oc12
179,PMID30160188,N-(2-(4-benzylpiperazin-1-yl)ethyl)benzofuran-2-carboxamide,O=C(NCCN1CCN(Cc2ccccc2)CC1)c1cc2ccccc2o1,'=',18.5,µM,,SGRUQLJJQWAUMV-UHFFFAOYSA-N,363.194677,um,4.732828,0,O=C(NCCN1CCN(Cc2ccccc2)CC1)c1cc2ccccc2o1
180,PMID31139552,N‐(2‐(4‐methoxyphenyl)‐1234‐tetrahydro‐110‐phenanthroline‐4‐yl) formamide,COc1ccc(C2CC(NC=O)c3ccc4cccnc4c3N2)cc1,'=',362.11,µM,,OXJMLDVCRBTRGM-UHFFFAOYSA-N,333.147727,um,3.441159,0,COc1ccc(C2CC(NC=O)c3ccc4cccnc4c3N2)cc1
181,PMID31139552,N‐(2‐(4‐methylphenyl)‐1234‐tetrahydro‐110‐phenanthroline‐4‐yl)formamide,Cc1ccc(C2CC(NC=O)c3ccc4cccnc4c3N2)cc1,'=',208.07,µM,fixed,JMSYRTZARRBFBP-UHFFFAOYSA-N,317.152812,um,3.681791,0,Cc1ccc(C2CC(NC=O)c3ccc4cccnc4c3N2)cc1
182,PMID31139552,N‐(2‐(4‐nitrophenyl)‐1234‐tetrahydro‐110‐phenanthroline‐4‐yl) formamide,O=CNC1CC(c2ccc([N+](=O)[O-])cc2)Nc2c1ccc1cccnc21,'=',96.52,µM,,JYQYQJGFSGGICP-UHFFFAOYSA-N,348.12224,um,4.015383,0,O=CNC1CC(c2ccc([N+](=O)[O-])cc2)Nc2c1ccc1cccnc21
183,PMID31139552,N‐(2‐(pyridin‐2‐yl)‐1234‐tetrahydro‐110‐phenanthroline‐4‐yl) formamide,O=CNC1CC(c2ccccn2)Nc2c1ccc1cccnc21,'=',143.66,µM,,KPRWQWHFOYLDJS-UHFFFAOYSA-N,304.132411,um,3.842664,0,O=CNC1CC(c2ccccn2)Nc2c1ccc1cccnc21
184,PMID31139552,N‐(2‐(pyridin‐3‐yl)‐1234‐tetrahydro‐110‐phenanthroline‐4‐yl) formamide,O=CNC1CC(c2cccnc2)Nc2c1ccc1cccnc21,'=',140.2,µM,,SUAFUBMKIAXCPE-UHFFFAOYSA-N,304.132411,um,3.853252,0,O=CNC1CC(c2cccnc2)Nc2c1ccc1cccnc21
185,PMID31139552,N‐(2‐(pyridin‐4‐yl)1234‐tetrahydro‐110‐phenanthroline‐4‐yl) formamide,O=CNC1CC(c2ccncc2)Nc2c1ccc1cccnc21,'=',63.63,µM,,WXZLYZUAHOCPMQ-UHFFFAOYSA-N,304.132411,um,4.196338,0,O=CNC1CC(c2ccncc2)Nc2c1ccc1cccnc21
186,PMID30712420,N-(3-(1-benzylpiperidin-4-yl)propyl)-4-oxo-N-(2-oxo-2-((2-(5-propoxy-1H-indol-3-yl)ethyl)amino)ethyl)-4H-chromene-2-carboxamide,CCCOc1ccc2[nH]cc(CCNC(=O)CN(CCCC3CCN(Cc4ccccc4)CC3)C(=O)c3cc(=O)c4ccccc4o3)c2c1,'=',0.38,µM,,VRDKZDACFOHANC-UHFFFAOYSA-N,662.346821,um,6.420216,1,CCCOc1ccc2[nH]cc(CCNC(=O)CN(CCCC3CCN(Cc4ccccc4)CC3)C(=O)c3cc(=O)c4ccccc4o3)c2c1
187,PMID30712420,N-(3-(1-benzylpiperidin-4-yl)propyl)-N-(2-((2-(5-isopropoxy-1H-indol-3-yl)ethyl)amino)-2-oxoethyl)-4-oxo-4H-chromene-2-carboxamide,CC(C)Oc1ccc2[nH]cc(CCNC(=O)CN(CCCC3CCN(Cc4ccccc4)CC3)C(=O)c3cc(=O)c4ccccc4o3)c2c1,'=',0.36,µM,,RLXAPOMWARRNDP-UHFFFAOYSA-N,662.346821,um,6.443697,1,CC(C)Oc1ccc2[nH]cc(CCNC(=O)CN(CCCC3CCN(Cc4ccccc4)CC3)C(=O)c3cc(=O)c4ccccc4o3)c2c1
188,PMID30712420,N-(3-(1-benzylpiperidin-4-yl)propyl)-N-(2-((2-(5-methoxy-1H-indol-3-yl)ethyl)amino)-2-oxoethyl)-4-oxo-4H-chromene-2-carboxamide,COc1ccc2[nH]cc(CCNC(=O)CN(CCCC3CCN(Cc4ccccc4)CC3)C(=O)c3cc(=O)c4ccccc4o3)c2c1,'=',0.27,µM,,YZEFZNVSKYEUED-UHFFFAOYSA-N,634.31552,um,6.568636,1,COc1ccc2[nH]cc(CCNC(=O)CN(CCCC3CCN(Cc4ccccc4)CC3)C(=O)c3cc(=O)c4ccccc4o3)c2c1
189,PMID30712420,N-(4-(1-benzylpiperidin-4-yl)butyl)-4-oxo-N-(2-oxo-2-((2-(5-propoxy-1H-indol-3-yl)ethyl)amino)ethyl)-4H-chromene-2-carboxamide ,CCCOc1ccc2[nH]cc(CCNC(=O)CN(CCCCC3CCN(Cc4ccccc4)CC3)C(=O)c3cc(=O)c4ccccc4o3)c2c1,'=',0.08,µM,,CYQBZXXNQBMJEY-UHFFFAOYSA-N,676.362471,um,7.09691,1,CCCOc1ccc2[nH]cc(CCNC(=O)CN(CCCCC3CCN(Cc4ccccc4)CC3)C(=O)c3cc(=O)c4ccccc4o3)c2c1
190,PMID30712420,N-(4-(1-benzylpiperidin-4-yl)butyl)-N-(2-((2-(5-isopropoxy-1H-indol-3-yl)ethyl)amino)-2-oxoethyl)-4-oxo-4H-chromene-2-carboxamide,CC(C)Oc1ccc2[nH]cc(CCNC(=O)CN(CCCCC3CCN(Cc4ccccc4)CC3)C(=O)c3cc(=O)c4ccccc4o3)c2c1,'=',0.09,µM,,LLOJOPRRGHSTNV-UHFFFAOYSA-N,676.362471,um,7.045757,1,CC(C)Oc1ccc2[nH]cc(CCNC(=O)CN(CCCCC3CCN(Cc4ccccc4)CC3)C(=O)c3cc(=O)c4ccccc4o3)c2c1
191,PMID30712420,N-(4-(1-benzylpiperidin-4-yl)butyl)-N-(2-((2-(5-methoxy-1H-indol-3-yl)ethyl)amino)-2-oxoethyl)-4-oxo-4H-chromene-2-carboxamide ,COc1ccc2[nH]cc(CCNC(=O)CN(CCCCC3CCN(Cc4ccccc4)CC3)C(=O)c3cc(=O)c4ccccc4o3)c2c1,'=',0.48,µM,,LHSUEACWFJGZKG-UHFFFAOYSA-N,648.331171,um,6.318759,1,COc1ccc2[nH]cc(CCNC(=O)CN(CCCCC3CCN(Cc4ccccc4)CC3)C(=O)c3cc(=O)c4ccccc4o3)c2c1
192,PMID29617286,N-[2-(34-Dihydroxyphenyl)ethyl]-(E)-3-(34-dihydroxyphenyl)acrylamide,O=C(/C=C/c1ccc(O)c(O)c1)NCCc1ccc(O)c(O)c1,'=',19.12,µM,,FSMGGLPUXCKRGT-ZZXKWVIFSA-N,315.110673,um,4.718512,0,O=C(/C=C/c1ccc(O)c(O)c1)NCCc1ccc(O)c(O)c1
193,PMID29617286,N-[2-(34-Dihydroxyphenyl)ethyl]-(E)-3-(4-hydroxy-3-methoxyphenyl)acrylamide,COc1cc(/C=C/C(=O)NCCc2ccc(O)c(O)c2)ccc1O,'=',8.52,µM,,ZRLYUFOWFPPSTD-QPJJXVBHSA-N,329.126323,um,5.06956,0,COc1cc(/C=C/C(=O)NCCc2ccc(O)c(O)c2)ccc1O
194,PMID30934674,Phenyl (1-(34-dimethylphenyl)-1-oxopropan-2-yl)(methyl)carbamate,Cc1ccc(C(=O)C(C)N(C)C(=O)Oc2ccccc2)cc1C,'=',47.95,µM,,DMNOIAZFBBYUJK-UHFFFAOYSA-N,311.152144,um,4.319211,0,Cc1ccc(C(=O)C(C)N(C)C(=O)Oc2ccccc2)cc1C
195,PMID30934674,Phenyl (1-(3-chlorophenyl)-1-oxopropan-2-yl)(methyl)carbamate ,CC(C(=O)c1cccc(Cl)c1)N(C)C(=O)Oc1ccccc1,'=',108.81,µM,,WKKNSZQWSFZOQB-UHFFFAOYSA-N,317.081871,um,3.963331,0,CC(C(=O)c1cccc(Cl)c1)N(C)C(=O)Oc1ccccc1
196,PMID30934674,Phenyl (1-(4-bromonaphthalen-1-yl)-1-oxopropan-2-yl)(methyl)carbamate,CC(C(=O)c1ccc(Br)c2ccccc12)N(C)C(=O)Oc1ccccc1,'=',61.68,µM,,ZQHMGIWIQKDQPO-UHFFFAOYSA-N,411.047006,um,4.209856,0,CC(C(=O)c1ccc(Br)c2ccccc12)N(C)C(=O)Oc1ccccc1
197,PMID30934674,Phenyl (1-(4-bromophenyl)-1-oxopropan-2-yl)(methyl)carbamate ,CC(C(=O)c1ccc(Br)cc1)N(C)C(=O)Oc1ccccc1,'=',51.46,µM,,ORCYKFHITIMBLH-UHFFFAOYSA-N,361.031355,um,4.28853,0,CC(C(=O)c1ccc(Br)cc1)N(C)C(=O)Oc1ccccc1
198,PMID30934674,Phenyl (1-(4-chloronaphthalen-1-yl)-1-oxopropan-2-yl)(methyl)carbamate ,CC(C(=O)c1ccc(Cl)c2ccccc12)N(C)C(=O)Oc1ccccc1,'=',30.64,µM,,UDUYMVXSZYQDQL-UHFFFAOYSA-N,367.097521,um,4.513711,0,CC(C(=O)c1ccc(Cl)c2ccccc12)N(C)C(=O)Oc1ccccc1
199,PMID30934674,Phenyl (1-(4-chlorophenyl)-1-oxopropan-2-yl)(methyl)carbamate,CC(C(=O)c1ccc(Cl)cc1)N(C)C(=O)Oc1ccccc1,'=',44.24,µM,,VVGVHNREOMGPBJ-UHFFFAOYSA-N,317.081871,um,4.354185,0,CC(C(=O)c1ccc(Cl)cc1)N(C)C(=O)Oc1ccccc1
200,PMID30934674,Phenyl (1-(4-methoxyphenyl)-1-oxopropan-2-yl)(methyl)carbamate,COc1ccc(C(=O)C(C)N(C)C(=O)Oc2ccccc2)cc1,'=',90.21,µM,,ITVGBNIWHHWQHA-UHFFFAOYSA-N,313.131408,um,4.044745,0,COc1ccc(C(=O)C(C)N(C)C(=O)Oc2ccccc2)cc1
201,PMID30934674,Phenyl (1-(benzo[d][13]dioxol-5-yl)-1-oxopropan-2-yl)(methyl)carbamate ,CC(C(=O)c1ccc2c(c1)OCO2)N(C)C(=O)Oc1ccccc1,'=',84,µM,,OMVHCZUSWVPODR-UHFFFAOYSA-N,327.110673,um,4.075721,0,CC(C(=O)c1ccc2c(c1)OCO2)N(C)C(=O)Oc1ccccc1
202,PMID30934674,Phenyl (1-(naphthalen-1-yl)-1-oxopropan-2-yl)(methyl)carbamate,CC(C(=O)c1cccc2ccccc12)N(C)C(=O)Oc1ccccc1,'=',99.58,µM,,MFSVYWGVUVCAAC-UHFFFAOYSA-N,333.136493,um,4.001828,0,CC(C(=O)c1cccc2ccccc12)N(C)C(=O)Oc1ccccc1
203,PMID30934674,Phenyl ethyl(1-oxo-1-phenylbutan-2-yl)carbamate,CCC(C(=O)c1ccccc1)N(CC)C(=O)Oc1ccccc1,'=',95.69,µM,,OJFUXOGMBPBNFU-UHFFFAOYSA-N,311.152144,um,4.019133,0,CCC(C(=O)c1ccccc1)N(CC)C(=O)Oc1ccccc1
204,PMID30934674,Phenyl ethyl(1-oxo-1-phenylpropan-2-yl)carbamate,CCN(C(=O)Oc1ccccc1)C(C)C(=O)c1ccccc1,'=',166.72,µM,,SFBVFXKQSFDKSV-UHFFFAOYSA-N,297.136493,um,3.778012,0,CCN(C(=O)Oc1ccccc1)C(C)C(=O)c1ccccc1
205,PMID30934674,Phenyl methyl(1-oxo-1-(m-tolyl)propan-2-yl)carbamate,Cc1cccc(C(=O)C(C)N(C)C(=O)Oc2ccccc2)c1,'=',165.62,µM,,DYKTUMHQIJYNAX-UHFFFAOYSA-N,297.136493,um,3.780887,0,Cc1cccc(C(=O)C(C)N(C)C(=O)Oc2ccccc2)c1
206,PMID30934674,Phenyl methyl(1-oxo-1-(p-tolyl)propan-2-yl)carbamate ,Cc1ccc(C(=O)C(C)N(C)C(=O)Oc2ccccc2)cc1,'=',138.64,µM,,ZTOWZVKKTNAUPT-UHFFFAOYSA-N,297.136493,um,3.858111,0,Cc1ccc(C(=O)C(C)N(C)C(=O)Oc2ccccc2)cc1
207,PMID30934674,Phenyl methyl(1-oxo-1-phenylbutan-2-yl)carbamate,CCC(C(=O)c1ccccc1)N(C)C(=O)Oc1ccccc1,'=',179.02,µM,,KYWRVWVMGCYVJR-UHFFFAOYSA-N,297.136493,um,3.747098,0,CCC(C(=O)c1ccccc1)N(C)C(=O)Oc1ccccc1
208,PMID30934674,Phenyl methyl(1-oxo-1-phenylpentan-2-yl)carbamate,CCCC(C(=O)c1ccccc1)N(C)C(=O)Oc1ccccc1,'=',97.97,µM,,VTAGIDMUIDZINV-UHFFFAOYSA-N,311.152144,um,4.008907,0,CCCC(C(=O)c1ccccc1)N(C)C(=O)Oc1ccccc1
